eventType,timestamp,ballXPosition,ballYPosition,ballXVelocity,ballYVelocity,wallRequiredDirectionToPass,wallArrowOrientation,isCompatible,wallCollisionX,wallCollisionY,
wallSpawn,3.391613,3.036226,1.259052,0.5609969,0,left,left,True,
wallSpawn,5.136362,10.24095,1.259052,5.90086E-06,-1.430511E-05,up,up,True,
wallPass,6.176348,8.553502,1.259052,-7.239016,0,left,left,True,
wallCollide,6.177056,8.553502,1.259052,-7.239016,0,left,left,True,8.6983,1.259052,
wallSpawn,6.88659,2.301062,1.259052,-6.693678,-1.251698E-06,left,left,True,
wallCollide,7.923781,-3.298959,1.259052,-2.867487,0,up,up,True,-3.241626,1.259052,
wallPass,7.925288,-3.298959,1.259052,-2.867487,0,up,up,True,
wallSpawn,8.649941,-1.180653,1.259052,6.408309,5.960464E-07,right,right,True,
wallPass,9.688543,4.151363,1.259052,4.886499,-9.536743E-06,left,left,True,
wallCollide,9.689134,4.151363,1.259052,4.886499,-9.536743E-06,left,left,True,4.053633,1.259052,
wallSpawn,10.41514,6.550844,1.259052,-1.178535,0,right,right,True,
wallCollide,11.44096,-0.9973106,1.259052,-6.751773,-3.576279E-07,right,right,True,-0.8622904,1.259052,
wallPass,11.44244,-0.9973106,1.259052,-6.751773,-3.576279E-07,right,right,True,
wallSpawn,12.17625,-1.236614,1.259052,4.723197,-4.768372E-06,right,right,True,
wallPass,13.20211,-2.254259,1.259052,-2.286708,0,right,right,True,
wallCollide,13.20274,-2.254259,1.259052,-2.286708,0,right,right,True,-2.208541,1.259052,
wallSpawn,13.94195,0.7054496,1.259052,7.951938,0,right,up,False,
wallCollide,14.96951,2.127139,1.259052,-2.750922,0,right,right,True,2.182162,1.259052,
wallPass,14.97112,2.127139,1.259052,-2.750922,0,right,right,True,
wallSpawn,15.69911,1.731184,1.259052,2.867932,-2.384186E-07,right,right,True,
wallCollide,16.72744,3.680369,1.259052,-2.566575,-1.436472E-05,right,up,False,3.731718,1.259052,
wallSpawn,17.45412,1.373056,1.259052,-0.6258524,5.960464E-08,up,up,True,
wallPass,18.49532,0.7412629,1.259052,-0.6149907,0,right,right,True,
wallCollide,18.4962,0.7412629,1.259052,-0.6149907,0,right,right,True,0.7535627,1.259052,
