eventType,timestamp,ballXPosition,ballYPosition,ballXVelocity,ballYVelocity,wallRequiredDirectionToPass,wallArrowOrientation,isCompatible,wallCollisionX,wallCollisionY,
wallSpawn,3.102069,3,1.259052,0,0,right,right,True,
wallSpawn,4.840797,1.099801,1.259052,1.891718,0,up,up,True,
wallCollide,5.882336,2.742107,1.259052,2.879298,0,right,right,True,2.684504,1.259052,
wallSpawn,6.604557,3.900682,1.259052,0.1220515,-5.960464E-08,left,up,False,
wallCollide,7.629005,1.821655,1.259052,-1.520535,0,up,up,True,1.852056,1.259052,
wallSpawn,8.36744,4.226331,1.259052,3.8145,0,left,left,True,
wallCollide,9.399626,0.3504659,1.259052,-4.845248,-6.556511E-07,left,up,False,0.4473543,1.259052,
wallSpawn,10.12048,1.326574,1.259052,6.243617,0,up,up,True,
wallPass,11.17508,6.136873,1.259052,-1.362815,0,left,left,True,
wallCollide,11.17595,6.136873,1.259052,-1.362815,0,left,left,True,6.164147,1.259052,
wallSpawn,11.88255,1.569827,1.259052,-6.822585,0,right,right,True,
wallCollide,12.90949,0.379962,1.259052,0.6265599,0,up,up,True,0.3674255,1.259052,
wallSpawn,13.63253,4.130834,1.259052,8.184902,0,right,up,False,
wallCollide,14.66913,4.615924,1.259052,-8.157098,0,right,right,True,4,1.259052,
wallSpawn,15.39104,-0.02817938,1.259052,-1.344975,5.960464E-08,up,up,True,
wallCollide,16.43358,-0.2778448,1.259052,-0.07997186,0,right,up,False,-0.2762623,1.259052,
wallSpawn,17.15616,3.775152,1.259052,7.888433,0,right,right,True,
wallCollide,18.18261,3.789759,1.259052,-3.585039,-6.556511E-07,up,up,True,3.861449,1.259052,
wallSpawn,18.92381,5.760992,1.259052,8.639451,0,right,right,True,
wallPass,19.96495,12.66347,1.259052,2.157158,0,right,right,True,
wallSpawn,20.68772,10.42492,1.259052,-4.141665,0,right,right,True,
wallPass,21.73205,15.09455,1.11333,12.3723,-2.689621,right,right,True,
wallSpawn,22.45395,22.39213,-9.030978,2.88623,-24.87281,up,up,True,
wallPass,23.51504,11.7149,-53.03178,-22.50576,-57.53138,right,right,True,
wallSpawn,24.20415,-5.997228,-101.0679,-25.71736,-79.09846,right,right,True,
wallPass,25.266,-33.25763,-202.548,-25.71736,-111.7572,up,up,True,
wallSpawn,25.95603,-50.74543,-285.8757,-25.71736,-132.7081,right,right,True,
wallPass,27.03456,-78.52028,-447.5014,-25.71736,-165.9827,right,right,True,
wallSpawn,27.72264,-96.52256,-571.4532,-25.71736,-187.5495,left,left,True,
wallPass,28.77077,-123.2688,-783.4871,-25.71736,-219.5917,right,right,True,
wallSpawn,29.47782,-141.2709,-944.9653,-25.71736,-241.1585,left,left,True,
wallPass,30.5425,-169.0454,-1223.718,-25.71736,-274.4335,left,left,True,
wallSpawn,31.23244,-186.5331,-1417.665,-25.71736,-295.3847,left,left,True,
wallPass,32.31343,-214.3076,-1754.983,-25.71736,-328.6601,left,left,True,
wallSpawn,32.99087,-231.7953,-1985.804,-25.71736,-349.6113,left,left,True,
wallPass,34.05355,-259.0555,-2374.028,-25.71736,-382.2704,left,left,True,
wallSpawn,34.74511,-277.0575,-2649.382,-25.71736,-403.8378,left,up,False,
wallPass,35.81274,-304.3177,-3095.086,-25.71736,-436.497,left,left,True,
wallSpawn,36.50394,-322.3197,-3408.398,-25.71736,-458.0644,left,left,True,
wallPass,37.55185,-349.0656,-3901.768,-25.71736,-490.1074,left,up,False,
wallSpawn,38.25847,-367.0676,-4252.607,-25.71736,-511.6747,up,up,True,
wallPass,39.31067,-394.3278,-4812.619,-25.71736,-544.3339,left,left,True,
wallSpawn,40.01583,-412.3298,-5201.417,-25.71736,-565.9013,left,left,True,
